TOWN,BLOCK,ADDRESS,POSTAL_CODE,LATITUDE,LONGITUDE,MAX_FLOOR,SUBZONE,PLANNING_AREA,REGION,DIST_NEAREST_HAWKER_WALK,DIST_NEAREST_MRT_WALK,DIST_NEAREST_PRI_SCH_WALK,DIST_NEAREST_SEC_SCH_WALK,DIST_NEAREST_MALL_WALK
queenstown,87,dawson road,141087,1.29573,103.80976,47,margaret drive,queenstown,central region,1080.5,602.0,324.9,664.0,1519.1
ang mo kio,336,ang mo kio avenue 1,560336,1.363594,103.851784,13,townsville,ang mo kio,north-east region,659.4,940.8,469.0,527.7,946.9
toa payoh,99A,lorong 2 toa payoh,310099,1.338785,103.846873,17,braddell,toa payoh,central region,508.1,391.7,512.9,973.9,1028.6
kallang/whampoa,54,jalan ma'mor,320054,1.328255,103.856286,2,balestier,novena,central region,776.3,1585.4,1226.5,1018.7,1914.3
yishun,718,yishun street 71,760718,1.426818,103.828513,10,yishun west,yishun,north region,1114.3,1065.5,288.9,424.7,1137.7
bukit merah,36,moh guan terrace,161036,1.284882,103.831042,4,tiong bahru,bukit merah,central region,310.5,561.4,878.4,1159.0,621.7
serangoon,504,serangoon north avenue 4,550504,1.373878,103.876308,14,serangoon north,serangoon,north-east region,2277.1,847.1,381.3,631.7,2528.1
choa chu kang,476C,choa chu kang avenue 5,683476,1.377347,103.737913,16,peng siang,choa chu kang,west region,5244.6,274.3,495.9,682.9,2889.9
hougang,711,hougang avenue 2,530711,1.366339,103.887775,10,kovan,hougang,north-east region,1318.2,1045.1,1143.5,1425.2,1195.5
punggol,196A,punggol field,821196,1.399204,103.906741,17,punggol field,punggol,north-east region,5905.7,1100.5,248.8,559.7,928.5
sengkang,261B,sengkang east way,542261,1.393494,103.894408,15,sengkang town centre,sengkang,north-east region,4781.3,309.9,489.4,874.7,266.8
ang mo kio,575,ang mo kio avenue 10,560575,1.371389,103.855953,14,cheng san,ang mo kio,north-east region,382.3,937.7,546.6,957.0,1001.5
bukit batok,167,bukit batok west avenue 8,650167,1.346933,103.742257,8,bukit batok west,bukit batok,west region,1072.0,456.8,477.6,208.6,1332.7
punggol,172B,edgedale plains,822172,1.395724,103.911805,18,punggol field,punggol,north-east region,5792.3,837.0,172.9,183.6,345.1
sengkang,274C,compassvale bow,543274,1.382287,103.891118,17,compassvale,sengkang,north-east region,3492.0,362.7,180.2,1220.4,1287.6
yishun,478A,yishun street 44,761478,1.429102,103.851139,14,yishun east,yishun,north region,3006.2,2143.2,602.7,1635.8,2020.5
bedok,702,bedok reservoir road,470702,1.337237,103.918924,12,bedok reservoir,bedok,east region,1186.0,300.4,459.7,1281.0,2467.3
jurong west,339C,kang ching road,613339,1.338514,103.721678,20,taman jurong,jurong west,west region,602.3,926.8,434.3,587.3,2125.6
jurong west,859,jurong west street 81,640859,1.34923,103.696101,15,yunnan,jurong west,west region,2445.1,319.2,774.1,1345.6,742.3
pasir ris,189,pasir ris street 12,510189,1.365589,103.959037,13,pasir ris drive,pasir ris,east region,4416.1,1112.7,979.5,650.7,1067.6
bedok,648,jalan tenaga,410648,1.332315,103.90552,16,kaki bukit,bedok,east region,1355.4,691.9,706.7,1264.1,3634.4
bedok,607,bedok reservoir road,470607,1.331085,103.9129,12,kaki bukit,bedok,east region,477.5,874.1,442.7,1771.0,2723.0
tampines,154,simei street 1,520154,1.344807,103.956997,11,simei,tampines,east region,1881.1,583.0,784.9,893.7,525.6
toa payoh,216,lorong 8 toa payoh,310216,1.342472,103.854179,25,lorong 8 toa payoh,toa payoh,central region,892.9,1970.6,801.6,987.7,2051.9
jurong west,180,yung sheng road,610180,1.333691,103.721266,18,taman jurong,jurong west,west region,175.0,1695.0,795.8,859.7,2286.9
bukit batok,624,bukit batok central,650624,1.351341,103.749509,8,bukit batok central,bukit batok,west region,2129.1,361.3,1016.1,1071.5,357.6
punggol,641A,punggol drive,821641,1.398555,103.917002,18,waterway east,punggol,north-east region,6200.2,670.2,448.4,839.6,786.9
sengkang,317C,anchorvale road,543317,1.39346,103.888223,16,anchorvale,sengkang,north-east region,5111.5,1220.1,499.2,757.2,1176.9
toa payoh,146,lorong 2 toa payoh,310146,1.334664,103.846451,40,toa payoh central,toa payoh,central region,894.1,513.7,698.8,807.7,325.5
woodlands,887A,woodlands drive 50,731887,1.437192,103.793891,16,midview,woodlands,north region,2061.9,1100.8,385.6,863.3,1202.2
yishun,320,yishun central,760320,1.429443,103.841407,12,yishun east,yishun,north region,1763.2,900.3,608.5,736.2,874.7
choa chu kang,805A,keat hong close,681805,1.372896,103.742569,16,keat hong,choa chu kang,west region,4293.2,935.3,939.1,1406.6,2533.6
punggol,256A,sumang walk,821256,1.406092,103.895707,17,matilda,punggol,north-east region,6451.8,825.6,406.3,308.4,878.0
jurong west,351,corporation drive,610351,1.338972,103.719839,11,taman jurong,jurong west,west region,639.1,1141.1,194.8,801.6,1897.7
yishun,788,yishun avenue 2,760788,1.421065,103.833978,13,khatib,yishun,north region,1852.8,587.4,945.0,767.2,1035.7
tampines,166,tampines street 12,521166,1.348821,103.946433,8,tampines east,tampines,east region,1025.3,923.2,448.1,496.3,614.0
bukit panjang,241,bukit panjang ring road,670241,1.379717,103.771871,11,bangkit,bukit panjang,west region,5509.2,1809.5,655.9,1448.1,1839.1
marine parade,54,marine terrace,440054,1.305302,103.915014,16,marine parade,marine parade,central region,143.4,360.9,285.5,612.8,1377.8
serangoon,154,serangoon north avenue 1,550154,1.37013,103.873116,4,serangoon garden,serangoon,north-east region,1389.6,203.1,1043.3,525.6,2402.5
jurong east,414,pandan gardens,600414,1.320083,103.747247,12,teban gardens,jurong east,west region,568.5,358.2,1706.7,273.0,2093.6
choa chu kang,271,choa chu kang avenue 2,680271,1.3787,103.742532,16,keat hong,choa chu kang,west region,5229.7,594.3,201.0,1013.3,2521.1
choa chu kang,563,choa chu kang street 52,680563,1.395669,103.745726,12,choa chu kang north,choa chu kang,west region,7327.5,282.8,685.0,908.2,2966.7
bukit merah,77A,redhill road,151077,1.288381,103.817391,30,redhill,bukit merah,central region,155.6,1002.9,508.6,508.6,1313.4
tampines,159,tampines street 12,521159,1.351041,103.946052,12,tampines east,tampines,east region,1321.4,667.2,495.3,822.3,457.4
jurong west,558,jurong west street 42,640558,1.354198,103.717344,13,hong kah,jurong west,west region,976.1,1397.6,1131.2,657.5,2649.6
woodlands,204,marsiling drive,730204,1.444216,103.774027,14,north coast,woodlands,north region,613.8,2020.4,1744.1,1254.4,1988.6
ang mo kio,413,ang mo kio avenue 10,560413,1.363526,103.853675,12,chong boon,ang mo kio,north-east region,211.7,1410.8,884.5,737.6,1460.1
pasir ris,755,pasir ris street 71,510755,1.377471,103.933704,16,pasir ris west,pasir ris,east region,5410.0,1311.2,249.8,2862.4,3065.4
bukit panjang,506,jelapang road,670506,1.387033,103.768121,16,saujana,bukit panjang,west region,6448.3,1706.6,459.4,723.9,1726.6
bishan,205,bishan street 23,570205,1.355313,103.847698,16,marymount,bishan,central region,1471.7,760.0,1104.2,386.0,859.5
geylang,83,macpherson lane,360083,1.33155,103.885518,12,macpherson,geylang,central region,617.7,774.8,1217.1,1521.5,3592.3
hougang,558,hougang street 51,530558,1.380495,103.889761,11,hougang west,hougang,north-east region,3199.1,734.2,620.8,897.9,1261.1
toa payoh,222,lorong 8 toa payoh,310222,1.341773,103.85604,20,lorong 8 toa payoh,toa payoh,central region,640.9,1748.6,549.6,978.0,2021.2
bedok,617,bedok reservoir road,470617,1.333128,103.916512,9,kaki bukit,bedok,east region,437.2,581.3,893.2,1906.8,2765.4
bukit batok,419,bukit batok west avenue 2,650419,1.361947,103.746196,10,hong kah north,bukit batok,west region,2858.0,1377.5,968.1,425.8,1930.3
pasir ris,777,pasir ris street 71,510777,1.375036,103.937313,16,pasir ris west,pasir ris,east region,5094.9,1212.8,478.0,2397.3,2600.3
sengkang,325C,sengkang east way,543325,1.39323,103.891351,15,anchorvale,sengkang,north-east region,5012.3,632.5,269.0,816.0,589.4
hougang,242,hougang street 22,530242,1.357389,103.892168,12,lorong ah soo,hougang,north-east region,611.0,1179.1,627.7,603.6,1087.2
bukit panjang,635B,senja road,672635,1.386603,103.75771,28,senja,bukit panjang,west region,6174.0,1257.1,550.2,557.7,1029.7
bedok,145,bedok reservoir road,470145,1.33429,103.912135,13,kaki bukit,bedok,east region,1010.2,506.3,827.5,2135.5,3303.3
pasir ris,744,pasir ris street 71,510744,1.377469,103.935212,16,pasir ris west,pasir ris,east region,5391.6,1122.9,415.4,2694.0,2884.7
jurong west,690,jurong west central 1,640690,1.341187,103.70671,13,jurong west central,jurong west,west region,1309.1,427.4,1162.8,709.7,338.7
punggol,126A,edgedale plains,821126,1.394101,103.911356,17,punggol field,punggol,north-east region,5631.8,1072.6,471.1,475.3,502.4
sengkang,410B,fernvale road,792410,1.389789,103.876097,25,fernvale,sengkang,north-east region,4016.6,2608.2,399.1,610.3,340.7
jurong west,831,jurong west street 81,640831,1.344849,103.694814,15,yunnan,jurong west,west region,2866.3,782.8,1027.0,1426.4,700.9
toa payoh,202,toa payoh north,310202,1.341529,103.849589,20,braddell,toa payoh,central region,747.0,478.2,842.3,801.0,1358.0
jurong west,265,boon lay drive,640265,1.345679,103.706599,15,boon lay place,jurong west,west region,914.0,1334.1,1133.5,505.6,1411.4
jurong west,922,jurong west street 92,640922,1.339198,103.689367,9,yunnan,jurong west,west region,3755.5,1585.0,665.0,631.1,1591.1
geylang,42A,sims drive,381042,1.316669,103.876097,4,aljunied,geylang,central region,520.7,1010.0,1471.3,987.0,2125.3
tampines,613B,tampines north drive 1,522613,1.366081,103.936008,15,tampines north,tampines,east region,3597.9,1059.3,1023.0,1825.2,2304.4
ang mo kio,319,ang mo kio avenue 1,560319,1.36511,103.847379,12,townsville,ang mo kio,north-east region,818.9,600.9,455.2,735.7,696.1
bukit batok,377,bukit batok street 31,650377,1.359421,103.75029,27,hong kah north,bukit batok,west region,3053.7,315.6,404.0,927.9,1533.5
tampines,414,tampines street 41,520414,1.359812,103.94655,10,tampines east,tampines,east region,2105.5,764.0,666.0,982.6,1004.5
choa chu kang,439,choa chu kang avenue 4,680439,1.383724,103.739787,14,peng siang,choa chu kang,west region,5912.3,672.0,842.2,646.3,2730.7
tampines,386,tampines street 32,520386,1.354839,103.959153,12,tampines east,tampines,east region,2493.9,638.6,525.8,360.6,1187.6
queenstown,112,commonwealth crescent,140112,1.306617,103.798184,10,commonwealth,queenstown,central region,396.4,584.4,1030.8,1161.5,859.0
choa chu kang,289,choa chu kang avenue 3,680289,1.379326,103.740718,12,keat hong,choa chu kang,west region,5309.1,223.4,320.6,642.4,2581.8
bedok,135,bedok reservoir road,470135,1.333141,103.912524,12,kaki bukit,bedok,east region,799.1,867.1,616.4,1936.2,3092.1
hougang,979C,buangkok crescent,533979,1.379539,103.879954,15,trafalgar,hougang,north-east region,3217.6,1785.6,535.1,488.7,2100.8
hougang,612,hougang avenue 8,530612,1.369375,103.885328,4,hougang west,hougang,north-east region,1751.8,1345.6,388.3,670.0,1474.7
sengkang,275C,compassvale link,543275,1.383239,103.89396,15,compassvale,sengkang,north-east region,3704.4,627.7,348.6,945.9,1389.6
yishun,738,yishun street 72,760738,1.429369,103.832471,12,yishun west,yishun,north region,828.2,752.7,416.5,747.0,824.8
yishun,137,yishun ring road,760137,1.431983,103.830253,12,yishun west,yishun,north region,357.7,844.7,447.2,618.3,1133.0
clementi,459,clementi avenue 3,120459,1.311389,103.767093,25,clementi central,clementi,west region,601.7,575.6,753.4,860.9,612.0
pasir ris,615,elias road,510615,1.376407,103.941722,18,pasir ris west,pasir ris,east region,4735.3,1011.6,403.0,2005.6,1838.1
hougang,626,hougang avenue 8,530626,1.369813,103.882211,12,hougang west,hougang,north-east region,2223.4,1405.1,568.0,506.5,1823.6
jurong west,849,jurong west street 81,640849,1.345839,103.691652,14,yunnan,jurong west,west region,3100.7,959.1,1281.0,1670.7,954.8
bukit batok,310,bukit batok street 32,650310,1.359641,103.748829,4,hong kah north,bukit batok,west region,2888.4,457.5,127.9,843.5,1368.3
hougang,920,hougang street 91,530920,1.376823,103.884083,16,trafalgar,hougang,north-east region,2801.3,1731.4,378.2,487.8,1763.0
woodlands,833,woodlands street 83,730833,1.440137,103.790566,4,midview,woodlands,north region,2071.0,947.8,1003.2,547.0,1224.7
bukit merah,115,bukit merah central,150115,1.284128,103.814544,25,bukit merah,bukit merah,central region,430.4,1789.3,736.4,736.4,1489.0
bukit batok,219,bukit batok street 21,650219,1.347207,103.755,10,bukit batok central,bukit batok,west region,2424.5,1009.7,264.9,677.0,1204.4
ang mo kio,503,ang mo kio avenue 5,560503,1.375462,103.848942,12,cheng san,ang mo kio,north-east region,874.3,777.5,786.1,575.4,1046.6
hougang,641,hougang avenue 8,530641,1.371276,103.880059,17,hougang west,hougang,north-east region,1931.5,947.6,476.5,366.2,1757.3
yishun,286,yishun avenue 6,760286,1.440038,103.838744,12,northland,yishun,north region,1910.1,1397.7,311.6,724.0,1414.5
tampines,309,tampines street 32,520309,1.353463,103.956791,12,tampines east,tampines,east region,2138.5,694.5,674.9,564.0,904.8
geylang,312,ubi avenue 1,400312,1.329673,103.903784,4,kampong ubi,geylang,central region,1725.5,572.9,350.3,650.5,3548.1
choa chu kang,545,choa chu kang street 52,680545,1.393488,103.743398,13,choa chu kang north,choa chu kang,west region,6853.4,669.1,210.9,530.7,2870.8
jurong west,407,jurong west street 42,640407,1.354894,103.721256,13,hong kah,jurong west,west region,1513.8,1997.4,1613.9,472.8,3372.1
toa payoh,234,lorong 8 toa payoh,310234,1.338601,103.857914,12,pei chun,toa payoh,central region,476.7,1544.7,385.4,786.1,1998.3
choa chu kang,659,choa chu kang crescent,680659,1.401243,103.749394,16,yew tee,choa chu kang,west region,7290.2,759.7,599.3,520.6,2960.5
sengkang,405A,fernvale lane,791405,1.388823,103.873859,22,fernvale,sengkang,north-east region,3806.2,2796.0,342.8,842.4,637.3
jurong west,175A,yung kuang road,611175,1.331938,103.721562,20,taman jurong,jurong west,west region,482.0,1868.4,896.4,535.2,2380.2
jurong west,161,yung ping road,610161,1.329776,103.721586,19,taman jurong,jurong west,west region,713.8,1894.1,1116.5,529.6,2602.0
yishun,757,yishun street 72,760757,1.426511,103.834285,12,yishun west,yishun,north region,1100.5,517.9,515.8,846.3,647.4
tampines,127,tampines street 11,521127,1.345432,103.950648,10,tampines east,tampines,east region,829.7,798.8,953.0,1078.1,1019.9
bukit panjang,443B,fajar road,672443,1.381017,103.769595,19,fajar,bukit panjang,west region,5627.6,1260.5,338.6,898.6,1290.0
bukit batok,102,bukit batok west avenue 6,650102,1.347458,103.747473,13,bukit batok central,bukit batok,west region,1511.8,547.9,1054.8,827.3,472.5
woodlands,899A,woodlands drive 50,730899,1.435805,103.795254,11,midview,woodlands,north region,2305.4,1101.8,626.0,878.6,1445.7
yishun,240,yishun ring road,760240,1.432699,103.839369,12,northland,yishun,north region,1848.1,1212.9,910.6,599.2,1311.3
yishun,809,yishun ring road,760809,1.416628,103.830741,13,khatib,yishun,north region,2272.0,708.1,601.2,722.5,1889.2
choa chu kang,571,choa chu kang street 52,680571,1.393951,103.744928,13,choa chu kang north,choa chu kang,west region,7220.5,622.9,578.0,897.8,3124.7
jurong west,273C,jurong west avenue 3,643273,1.351832,103.704008,15,wenya,jurong west,west region,2001.0,1033.5,647.0,864.5,1111.7
woodlands,671,woodlands drive 71,730671,1.43906,103.798775,12,woodlands east,woodlands,north region,2888.8,458.8,711.4,868.3,2029.1
jurong east,288B,jurong east street 21,602288,1.338936,103.742881,16,toh guan,jurong east,west region,1098.1,121.8,675.5,767.2,866.4
jurong west,663B,jurong west street 65,642663,1.338132,103.701603,16,jurong west central,jurong west,west region,1893.6,541.7,392.2,556.0,672.4
bukit batok,504,bukit batok street 52,650504,1.351966,103.754984,12,guilin,bukit batok,west region,2621.4,922.4,466.7,342.6,1061.3
jurong west,328,tah ching road,610328,1.336635,103.7226,21,taman jurong,jurong west,west region,323.1,1232.6,635.9,893.4,2326.8
yishun,655,yishun avenue 4,760655,1.422796,103.839835,12,yishun south,yishun,north region,2182.7,1296.4,451.0,832.7,1052.9
sengkang,211A,compassvale lane,541211,1.384656,103.899257,16,sengkang town centre,sengkang,north-east region,3770.5,1190.1,626.6,556.2,1477.3
hougang,986B,buangkok crescent,532986,1.382273,103.880129,15,trafalgar,hougang,north-east region,3476.3,2044.3,868.1,820.8,1722.3
bukit merah,124B,bukit merah view,152124,1.285282,103.823095,18,henderson hill,bukit merah,central region,362.1,1071.9,1078.1,1314.8,1173.5
bedok,144,bedok reservoir road,470144,1.33487,103.912527,4,kaki bukit,bedok,east region,946.8,478.7,997.3,2107.9,3233.5
sembawang,362C,sembawang crescent,753362,1.446684,103.813226,16,sembawang central,sembawang,north region,3143.7,934.3,1123.0,637.5,888.6
pasir ris,719,pasir ris street 72,510719,1.382243,103.936647,11,pasir ris west,pasir ris,east region,5793.1,785.8,1040.8,3141.0,2944.6
woodlands,755,woodlands avenue 4,730755,1.4453,103.79327,12,woodlands east,woodlands,north region,2463.7,1368.3,229.3,610.3,1820.4
jurong west,174,boon lay drive,640174,1.34625,103.709387,11,boon lay place,jurong west,west region,579.0,1033.3,806.5,204.8,1110.6
kallang/whampoa,123,mcnair road,320123,1.318442,103.85635,15,bendemeer,kallang,central region,1019.7,866.3,592.5,1265.1,1235.2
yishun,451,yishun ring road,760451,1.422054,103.844675,13,yishun east,yishun,north region,2717.3,1799.4,710.9,283.3,1587.5
sembawang,507C,wellington circle,753507,1.451731,103.823452,12,admiralty,sembawang,north region,2986.4,808.8,630.5,1527.6,953.0
bukit batok,274,bukit batok east avenue 4,650274,1.347952,103.757963,4,bukit batok east,bukit batok,west region,2702.1,1348.4,493.1,1053.4,1491.6
sengkang,467B,fernvale link,792467,1.398071,103.877933,26,fernvale,sengkang,north-east region,5079.0,2331.3,957.7,1110.1,1080.8
punggol,170A,punggol field,821170,1.393561,103.914861,18,punggol field,punggol,north-east region,5694.9,795.6,608.2,618.8,442.9
marine parade,16,marine terrace,440016,1.304372,103.914042,16,marine parade,marine parade,central region,301.1,517.1,441.5,770.5,1440.5
jurong west,977,jurong west street 93,640977,1.339694,103.693915,12,yunnan,jurong west,west region,2957.2,823.7,965.8,1010.7,796.8
toa payoh,117,lorong 1 toa payoh,310117,1.340021,103.845414,10,toa payoh west,toa payoh,central region,202.2,237.1,503.4,811.6,993.7
choa chu kang,692A,choa chu kang crescent,681692,1.400209,103.751271,24,yew tee,choa chu kang,west region,7202.3,946.2,774.3,732.3,2683.3
tampines,843,tampines street 83,520843,1.351879,103.934691,11,tampines west,tampines,east region,2576.5,1264.1,751.4,300.9,981.9
bedok,26,new upper changi road,462026,1.323338,103.934207,2,bedok south,bedok,east region,697.1,598.1,669.9,1440.7,900.8
queenstown,12,dover close east,130012,1.304992,103.785807,25,dover,queenstown,central region,1204.8,854.0,650.8,526.1,761.0
tampines,737,tampines street 72,520737,1.358941,103.934007,14,tampines west,tampines,east region,2830.6,1608.8,628.9,813.9,1394.8
choa chu kang,484C,choa chu kang avenue 5,683484,1.375493,103.736871,16,peng siang,choa chu kang,west region,5008.7,641.8,650.0,974.2,3251.5
tampines,139,tampines street 11,521139,1.346161,103.944509,4,tampines east,tampines,east region,443.5,1122.2,860.7,659.2,1027.8
sengkang,108,rivervale walk,540108,1.382812,103.899783,17,rivervale,sengkang,north-east region,3665.3,1117.1,553.6,226.3,1491.7
woodlands,333,woodlands street 32,730333,1.429767,103.780002,4,woodgrove,woodlands,north region,547.7,932.4,380.0,509.6,1233.0
kallang/whampoa,114,whampoa road,320114,1.325412,103.857481,14,balestier,novena,central region,814.3,1593.6,1129.0,1175.9,2184.3
hougang,931,hougang street 91,530931,1.375545,103.880605,15,trafalgar,hougang,north-east region,2746.1,1349.1,676.1,548.7,1909.7
tampines,339,tampines street 33,520339,1.351146,103.959125,10,tampines east,tampines,east region,2712.0,1255.5,402.2,814.0,1475.8
bedok,603,bedok reservoir road,470603,1.330002,103.912464,11,kaki bukit,bedok,east region,718.1,871.1,316.3,1767.6,2647.0
woodlands,689B,woodlands drive 75,732689,1.444469,103.808397,16,woodlands east,woodlands,north region,3475.0,999.7,1095.9,1006.6,1751.5
jurong west,260,boon lay drive,640260,1.345094,103.708033,15,boon lay place,jurong west,west region,880.8,1300.9,1100.3,472.4,1378.2
hougang,928,hougang street 91,530928,1.376659,103.881516,15,trafalgar,hougang,north-east region,2956.7,1565.6,533.6,559.9,1918.4
bukit panjang,215,petir road,670215,1.375107,103.774312,4,bangkit,bukit panjang,west region,4731.3,1539.1,806.1,1489.3,2141.6
woodlands,663,woodlands ring road,730663,1.436221,103.79841,12,woodlands east,woodlands,north region,2775.3,1138.1,284.9,1038.4,1931.8
bedok,527,bedok north street 3,460527,1.333911,103.928159,4,bedok north,bedok,east region,384.6,961.6,559.9,972.3,1594.9
jurong west,682B,jurong west central 1,642682,1.343622,103.705666,17,jurong west central,jurong west,west region,1191.7,470.3,784.4,606.5,882.6
clementi,333,clementi avenue 2,120333,1.315184,103.767499,14,clementi north,clementi,west region,700.0,354.8,378.8,877.6,580.9
kallang/whampoa,14,kampong arang road,431014,1.300165,103.884228,12,tanjong rhu,kallang,central region,416.7,521.3,1775.1,422.0,1407.5
jurong east,282,toh guan road,600282,1.339606,103.747111,16,toh guan,jurong east,west region,1386.0,686.2,912.5,1004.3,600.8
sembawang,108B,canberra walk,752108,1.44819,103.831857,14,sembawang east,sembawang,north region,2492.8,841.7,1794.4,1806.1,805.9
punggol,115,edgefield plains,820115,1.395129,103.907258,17,punggol field,punggol,north-east region,5768.9,1450.2,755.3,784.7,864.9
pasir ris,521,pasir ris street 52,510521,1.373581,103.944365,14,pasir ris central,pasir ris,east region,4099.9,650.7,309.4,1395.2,1566.9
bedok,122,bedok reservoir road,470122,1.331979,103.910624,10,kaki bukit,bedok,east region,1061.1,531.8,421.5,1590.0,3341.3
jurong west,835,jurong west street 81,640835,1.343505,103.693706,12,yunnan,jurong west,west region,2758.2,945.6,918.9,1318.2,592.7
hougang,702,hougang avenue 2,530702,1.365758,103.88972,13,kovan,hougang,north-east region,1175.7,990.4,1216.9,1305.7,1053.1
tampines,204,tampines street 21,520204,1.35218,103.951695,11,tampines east,tampines,east region,1648.7,818.6,238.8,504.2,112.9
woodlands,9,marsiling drive,730009,1.441292,103.77645,22,woodlands west,woodlands,north region,414.1,1592.3,1628.4,826.3,1560.5
punggol,601D,punggol central,824601,1.402964,103.907847,16,waterway east,punggol,north-east region,6338.3,861.3,753.1,727.0,1111.4
bukit panjang,427,bukit panjang ring road,670427,1.386371,103.769811,17,fajar,bukit panjang,west region,6495.2,1969.7,598.0,860.0,1988.7
jurong west,401,jurong west street 42,640401,1.353425,103.721443,12,hong kah,jurong west,west region,1005.5,1655.3,1160.6,152.5,2862.8
tampines,327,tampines street 32,520327,1.352447,103.958288,10,tampines east,tampines,east region,2375.5,858.2,406.9,580.0,1078.5
bedok,156,bedok south avenue 3,460156,1.318287,103.945482,12,bedok south,bedok,east region,1457.2,503.6,177.5,792.2,2722.0
woodlands,867,woodlands street 83,730867,1.442163,103.79313,12,midview,woodlands,north region,2377.3,1254.2,427.5,474.6,1531.1
jurong west,766,jurong west street 74,640766,1.349805,103.697762,15,yunnan,jurong west,west region,2430.7,557.5,814.3,1332.6,136.8
jurong west,644,jurong west street 61,640644,1.339592,103.696358,15,jurong west central,jurong west,west region,2288.6,508.9,433.3,850.4,351.4
marine parade,76,marine drive,440076,1.302935,103.907739,14,marine parade,marine parade,central region,264.9,433.0,1282.8,1383.8,461.2
jurong east,309,jurong east street 32,600309,1.347537,103.734033,13,yuhua west,jurong east,west region,593.6,1101.6,172.6,920.7,2273.0
woodlands,652,woodlands ring road,730652,1.437991,103.799987,12,woodlands east,woodlands,north region,2885.3,418.5,663.0,728.3,2025.5
jurong west,664B,jurong west street 64,642664,1.338354,103.703586,16,jurong west central,jurong west,west region,1694.0,280.7,602.7,722.9,407.3
yishun,410,yishun ring road,760410,1.42635,103.846574,12,yishun east,yishun,north region,2604.0,1719.6,380.4,783.7,1543.8
tampines,896,tampines street 81,520896,1.348303,103.932452,13,tampines west,tampines,east region,2361.9,1035.6,723.9,819.8,1516.5
jurong west,665A,jurong west street 64,641665,1.340093,103.703124,16,jurong west central,jurong west,west region,1568.1,482.7,748.9,554.3,600.5
pasir ris,137,pasir ris street 11,510137,1.365159,103.957231,8,pasir ris drive,pasir ris,east region,4133.0,858.3,725.1,365.9,813.2
hougang,6,hougang avenue 3,530006,1.362714,103.893981,5,kangkar,hougang,north-east region,1273.8,743.1,791.2,1147.6,1210.3
choa chu kang,151,jalan teck whye,680151,1.378411,103.757251,10,teck whye,choa chu kang,west region,5138.4,734.0,1129.5,938.7,572.3
bukit batok,542,bukit batok street 52,650542,1.353922,103.751141,11,guilin,bukit batok,west region,3053.0,709.9,798.2,503.8,1526.2
sengkang,289B,compassvale crescent,542289,1.397677,103.897388,15,sengkang town centre,sengkang,north-east region,5430.7,981.1,611.2,422.9,937.9
sengkang,356B,anchorvale lane,542356,1.393907,103.884507,18,anchorvale,sengkang,north-east region,5069.6,1529.2,670.0,1022.3,1397.7
woodlands,830,woodlands street 83,730830,1.439285,103.790785,12,midview,woodlands,north region,2072.0,948.9,1004.2,548.0,1225.8
hougang,155,hougang street 11,530155,1.352653,103.880293,13,lorong ah soo,hougang,north-east region,1234.0,983.3,1453.8,841.3,1185.2
pasir ris,760,pasir ris street 71,510760,1.3764,103.93354,16,pasir ris west,pasir ris,east region,5327.5,1520.7,308.7,3071.9,3274.9
woodlands,437,woodlands street 41,730437,1.426982,103.774693,12,woodgrove,woodlands,north region,1338.5,1145.8,730.6,935.6,2042.1
punggol,196B,punggol field,822196,1.399007,103.906991,17,punggol field,punggol,north-east region,5941.0,1135.8,213.5,524.4,924.5
serangoon,219,serangoon avenue 4,550219,1.358359,103.872182,12,serangoon garden,serangoon,north-east region,1410.8,1264.9,728.5,498.1,1010.2
bukit merah,68,redhill close,150068,1.286872,103.816026,30,redhill,bukit merah,central region,326.4,1235.4,286.4,286.4,1625.3
tampines,707,tampines street 71,520707,1.357648,103.936891,14,tampines west,tampines,east region,2515.1,1332.7,337.9,723.5,1079.3
tampines,360,tampines street 34,520360,1.355618,103.962258,9,tampines east,tampines,east region,2978.8,1192.1,698.6,468.8,1672.5
jurong west,403,jurong west street 42,640403,1.353839,103.72148,12,hong kah,jurong west,west region,1524.5,2008.1,1624.6,483.5,3382.8
choa chu kang,221,choa chu kang central,680221,1.38223,103.745057,4,choa chu kang central,choa chu kang,west region,5408.2,342.9,371.9,1200.9,2084.2
punggol,174B,edgedale plains,822174,1.396732,103.910813,17,punggol field,punggol,north-east region,5904.8,950.4,226.7,191.3,544.0
geylang,97,aljunied crescent,380097,1.321301,103.885672,12,aljunied,geylang,central region,349.5,872.3,649.7,878.2,2989.6
bukit batok,226,bukit batok central,650226,1.348733,103.753174,4,bukit batok central,bukit batok,west region,2173.1,571.1,431.9,651.5,714.6
bukit merah,36,jalan rumah tinggi,150036,1.288495,103.808777,22,alexandra hill,bukit merah,central region,398.5,1276.4,1499.5,869.9,837.5
punggol,266B,punggol way,822266,1.405575,103.897926,17,matilda,punggol,north-east region,6269.6,725.1,338.7,674.4,790.2
tampines,337,tampines street 32,520337,1.352389,103.959877,10,tampines east,tampines,east region,2523.2,1060.7,222.2,603.2,1281.0
serangoon,552,serangoon north avenue 3,550552,1.372325,103.871285,16,serangoon north,serangoon,north-east region,1942.9,922.3,1032.3,1078.9,3194.2
choa chu kang,121,teck whye lane,680121,1.378304,103.750108,11,teck whye,choa chu kang,west region,4995.6,1208.0,749.3,1205.9,1405.9
